Date,Ticker,Open,High,Low,Close,Volume
2026-01-20,AAPL,252.49373739571587,254.55180921698133,243.1924430560896,246.46937561035156,80267500
2026-01-21,AAPL,248.46750904444812,251.3248360900433,244.9507953165175,247.41848754882812,54641700
2026-01-22,AAPL,248.9670398844787,250.76536025794263,247.9180183962477,248.1178436279297,39708300
2026-01-23,AAPL,247.0888078223564,249.17685039145397,244.45126111041233,247.80812072753903,41689000
2026-01-26,AAPL,251.24490015634893,256.32015295784896,249.5664780183616,255.17123413085935,55969200
2026-01-27,AAPL,258.92771692213245,261.70511669708895,257.96859246831417,258.0285339355469,49648300
2026-01-28,AAPL,257.409147241713,258.61800761819165,254.27208306792676,256.2002868652344,41288000
2026-01-29,AAPL,257.75880668092503,259.4072580677027,254.17216647920577,258.0385437011719,67253000
2026-01-30,AAPL,254.9314433110553,261.6551472598355,251.94423313215475,259.2374267578125,92443400
2026-02-02,AAPL,259.7869174093499,270.2371306501278,258.9676766447768,269.7575988769531,73913400
2026-02-03,AAPL,268.9483513556569,271.6258386480508,267.3598109321867,269.22808837890625,64394700
2026-02-04,AAPL,272.03545112075,278.68922850453845,272.03545112075,276.23150634765625,90545700
2026-02-05,AAPL,277.86999494352693,279.2387093202658,272.97458180817284,275.6520690917969,52977400
2026-02-06,AAPL,276.8609202349588,280.6473855638201,276.67109542368036,277.8599853515625,50453400
2026-02-09,AAPL,277.9100036621094,278.20001220703125,271.70001220703125,274.6199951171875,44623400
2026-02-10,AAPL,274.8900146484375,275.3699951171875,272.94000244140625,273.67999267578125,34376900
2026-02-11,AAPL,274.70001220703125,280.17999267578125,274.45001220703125,275.5,51931300
2026-02-12,AAPL,275.5899963378906,275.7200012207031,260.17999267578125,261.7300109863281,81077200
2026-02-13,AAPL,262.010009765625,262.2300109863281,255.4499969482422,255.77999877929688,56290700
2026-02-17,AAPL,258.04998779296875,266.2900085449219,255.5399932861328,263.8800048828125,58469100
2026-02-18,AAPL,263.6000061035156,266.82000732421875,262.45001220703125,264.3500061035156,34129600
2026-01-20,AMZN,233.7599945068359,235.08999633789065,229.33999633789065,231.0,47737900
2026-01-21,AMZN,231.08999633789065,232.3000030517578,226.8800048828125,231.30999755859375,47276100
2026-01-22,AMZN,234.0500030517578,235.72000122070312,230.8999938964844,234.33999633789065,31913300
2026-01-23,AMZN,234.9600067138672,240.4499969482422,234.57000732421875,239.16000366210935,33778500
2026-01-26,AMZN,239.97999572753903,240.9499969482422,237.5399932861328,238.4199981689453,32825500
2026-01-27,AMZN,239.69000244140625,244.8800048828125,238.0800018310547,244.67999267578125,38029200
2026-01-28,AMZN,246.3699951171875,247.77999877929688,241.52999877929688,243.0099945068359,40882700
2026-01-29,AMZN,242.82000732421875,243.0,236.7400054931641,241.72999572753903,47229600
2026-01-30,AMZN,239.88999938964844,243.32000732421875,237.63999938964844,239.3000030517578,46585000
2026-02-02,AMZN,238.30999755859375,245.6300048828125,238.1699981689453,242.9600067138672,37546100
2026-02-03,AMZN,244.97999572753903,246.3500061035156,235.4499969482422,238.6199951171875,53831300
2026-02-04,AMZN,238.86000061035156,238.86000061035156,231.82000732421875,232.9900054931641,51299900
2026-02-05,AMZN,224.91000366210935,226.30999755859375,220.3800048828125,222.69000244140625,103509200
2026-02-06,AMZN,202.6999969482422,211.44000244140625,200.30999755859375,210.32000732421875,179210900
2026-02-09,AMZN,208.97000122070312,212.80999755859375,203.3500061035156,208.72000122070312,91178400
2026-02-10,AMZN,208.8000030517578,212.6499938964844,206.41000366210935,206.9600067138672,67175000
2026-02-11,AMZN,208.05999755859375,208.57000732421875,202.4900054931641,204.0800018310547,65545500
2026-02-12,AMZN,203.9600067138672,203.9600067138672,197.55999755859375,199.6000061035156,83975400
2026-02-13,AMZN,198.8800048828125,201.16000366210935,197.27999877929688,198.7899932861328,66321600
2026-02-17,AMZN,198.1300048828125,201.7400054931641,196.0,201.1499938964844,69879200
2026-02-18,AMZN,202.07000732421875,206.86000061035156,201.5099945068359,204.7899932861328,50927500
2026-01-20,AVGO,344.1000061035156,345.3999938964844,331.79998779296875,332.6000061035156,32293900
2026-01-21,AVGO,335.510009765625,335.79998779296875,324.20001220703125,328.79998779296875,32006600
2026-01-22,AVGO,335.3500061035156,336.989990234375,324.8900146484375,325.489990234375,24275400
2026-01-23,AVGO,319.29998779296875,321.989990234375,314.1099853515625,320.04998779296875,30259500
2026-01-26,AVGO,319.79998779296875,328.67999267578125,317.6000061035156,324.8500061035156,25006400
2026-01-27,AVGO,329.760009765625,334.760009765625,327.0199890136719,332.7900085449219,25537600
2026-01-28,AVGO,338.8500061035156,339.989990234375,326.70001220703125,333.239990234375,23001700
2026-01-29,AVGO,332.55999755859375,335.95001220703125,320.2799987792969,330.7300109863281,20447500
2026-01-30,AVGO,332.44000244140625,338.20001220703125,328.3299865722656,331.29998779296875,28313000
2026-02-02,AVGO,326.1099853515625,336.05999755859375,325.75,331.1099853515625,17278200
2026-02-03,AVGO,336.739990234375,338.8999938964844,308.6499938964844,320.3299865722656,36914800
2026-02-04,AVGO,319.510009765625,319.510009765625,295.29998779296875,308.04998779296875,43330300
2026-02-05,AVGO,314.3399963378906,326.5299987792969,306.70001220703125,310.510009765625,42775800
2026-02-06,AVGO,320.1000061035156,335.0,316.29998779296875,332.9200134277344,33003400
2026-02-09,AVGO,330.7699890136719,352.3399963378906,330.6499938964844,343.94000244140625,30091000
2026-02-10,AVGO,347.4700012207031,348.010009765625,339.8399963378906,340.44000244140625,19542700
2026-02-11,AVGO,346.79998779296875,347.20001220703125,333.739990234375,342.760009765625,17004700
2026-02-12,AVGO,343.8299865722656,346.2900085449219,329.55999755859375,331.1700134277344,22007300
2026-02-13,AVGO,329.8500061035156,334.32000732421875,324.69000244140625,325.1700134277344,18397200
2026-02-17,AVGO,319.67999267578125,335.75,316.30999755859375,332.5400085449219,23469700
2026-02-18,AVGO,329.5199890136719,337.8800048828125,327.2300109863281,333.510009765625,13540400
2026-01-20,GOOG,321.239990234375,328.0899963378906,320.8900146484375,322.1600036621094,27169900
2026-01-21,GOOG,321.0950012207031,332.7250061035156,319.5400085449219,328.3800048828125,22791700
2026-01-22,GOOG,334.2650146484375,335.2099914550781,328.8800048828125,330.8399963378906,19902100
2026-01-23,GOOG,332.6549987792969,334.0299987792969,327.9700012207031,328.42999267578125,19110600
2026-01-26,GOOG,328.20001220703125,336.3500061035156,327.489990234375,333.5899963378906,18502500
2026-01-27,GOOG,335.6300048828125,338.2149963378906,333.75,335.0,16080900
2026-01-28,GOOG,336.6099853515625,337.6300048828125,332.1300048828125,336.2799987792969,17538500
2026-01-29,GOOG,340.3500061035156,342.2900085449219,326.7200012207031,338.6600036621094,24548300
2026-01-30,GOOG,334.4599914550781,340.2900085449219,332.6400146484375,338.5299987792969,21740200
2026-02-02,GOOG,336.54998779296875,345.1650085449219,336.010009765625,344.8999938964844,22775200
2026-02-03,GOOG,348.5150146484375,350.1499938964844,338.5899963378906,340.70001220703125,25786500
2026-02-04,GOOG,343.7550048828125,344.25,329.3699951171875,333.3399963378906,36991100
2026-02-05,GOOG,313.20001220703125,332.6440124511719,306.9200134277344,331.3299865722656,51842000
2026-02-06,GOOG,327.3500061035156,330.6400146484375,320.1499938964844,323.1000061035156,33877000
2026-02-09,GOOG,321.239990234375,327.739990234375,317.70001220703125,324.3999938964844,26103300
2026-02-10,GOOG,320.9100036621094,321.6300048828125,314.6600036621094,318.6300048828125,25281900
2026-02-11,GOOG,318.9599914550781,321.0450134277344,310.1300048828125,311.3299865722656,24008100
2026-02-12,GOOG,312.3500061035156,316.4800109863281,308.1499938964844,309.3699951171875,28194000
2026-02-13,GOOG,307.9849853515625,308.8900146484375,303.8999938964844,306.0199890136719,20236000
2026-02-17,GOOG,300.6400146484375,304.8900146484375,296.8999938964844,302.82000732421875,23750800
2026-02-18,GOOG,302.4320068359375,305.9100036621094,301.9800109863281,303.94000244140625,15815100
2026-01-20,GOOGL,320.8699951171875,327.7300109863281,320.42999267578125,322.0,35361000
2026-01-21,GOOGL,320.9200134277344,332.4800109863281,319.3500061035156,328.3800048828125,35386600
2026-01-22,GOOGL,334.45001220703125,335.1499938964844,328.75,330.5400085449219,26253600
2026-01-23,GOOGL,332.489990234375,333.69000244140625,327.45001220703125,327.92999267578125,27280000
2026-01-26,GOOGL,327.80999755859375,335.8399963378906,327.0,333.260009765625,26042100
2026-01-27,GOOGL,335.3699951171875,337.9100036621094,333.4800109863281,334.54998779296875,21636200
2026-01-28,GOOGL,336.05999755859375,337.5400085449219,331.94000244140625,336.010009765625,27434400
2026-01-29,GOOGL,340.29998779296875,342.2900085449219,326.5400085449219,338.25,39785600
2026-01-30,GOOGL,340.0,340.0,332.2900085449219,338.0,31024000
2026-02-02,GOOGL,336.2200012207031,344.8299865722656,335.6300048828125,343.69000244140625,32006100
2026-02-03,GOOGL,347.3399963378906,349.0,337.4700012207031,339.7099914550781,36506700
2026-02-04,GOOGL,342.9599914550781,343.30999755859375,328.5199890136719,333.0400085449219,70618400
2026-02-05,GOOGL,312.2200012207031,332.69000244140625,306.4599914550781,331.25,88205800
2026-02-06,GOOGL,327.17999267578125,330.3800048828125,319.9200134277344,322.8599853515625,56380500
2026-02-09,GOOGL,320.92999267578125,327.70001220703125,317.260009765625,324.32000732421875,39640100
2026-02-10,GOOGL,320.9700012207031,321.6700134277344,314.6099853515625,318.5799865722656,39170000
2026-02-11,GOOGL,318.9700012207031,321.05999755859375,309.6600036621094,310.9599914550781,45406400
2026-02-12,GOOGL,312.0899963378906,316.239990234375,307.20001220703125,309.0,47761300
2026-02-13,GOOGL,307.7300109863281,308.6300048828125,303.7099914550781,305.7200012207031,38499700
2026-02-17,GOOGL,300.0400085449219,304.44000244140625,296.25,302.0199890136719,39247600
2026-02-18,GOOGL,302.0899963378906,305.3800048828125,301.25,303.3299865722656,28447700
2026-01-20,META,607.8800048828125,611.4000244140625,600.0,604.1199951171875,15169600
2026-01-21,META,606.739990234375,618.27001953125,600.0800170898438,612.9600219726562,14494700
2026-01-22,META,629.3499755859375,660.5700073242188,626.5499877929688,647.6300048828125,21394700
2026-01-23,META,644.77001953125,666.489990234375,644.4500122070312,658.760009765625,22797700
2026-01-26,META,665.1300048828125,675.280029296875,661.2899780273438,672.3599853515625,16327400
2026-01-27,META,674.5900268554688,676.8200073242188,664.6599731445312,672.969970703125,13297400
2026-01-28,META,674.5,677.6799926757812,666.0999755859375,668.72998046875,25709600
2026-01-29,META,737.4299926757812,744.0,712.5499877929688,738.3099975585938,59852900
2026-01-30,META,727.5,732.1699829101562,713.5900268554688,716.5,23744600
2026-02-02,META,714.5999755859375,721.2999877929688,703.52001953125,706.4099731445312,14365200
2026-02-03,META,707.3699951171875,717.0,686.4099731445312,691.7000122070312,13760700
2026-02-04,META,687.72998046875,688.8300170898438,667.4600219726562,668.989990234375,16882800
2026-02-05,META,663.5800170898438,681.5,653.5,670.2100219726562,17131800
2026-02-06,META,665.489990234375,671.989990234375,646.5,661.4600219726562,18159300
2026-02-09,META,663.1799926757812,683.3099975585938,658.780029296875,677.219970703125,14837500
2026-02-10,META,677.5999755859375,680.6500244140625,669.7899780273438,670.719970703125,10455800
2026-02-11,META,674.0,679.27001953125,657.0999755859375,668.6900024414062,14323800
2026-02-12,META,669.969970703125,676.0,645.280029296875,649.8099975585938,14960100
2026-02-13,META,645.0999755859375,651.4299926757812,634.5700073242188,639.77001953125,12336400
2026-02-17,META,639.5,642.5999755859375,628.7999877929688,639.2899780273438,12674700
2026-02-18,META,633.7999877929688,645.0,628.1500244140625,643.219970703125,14625600
2026-01-20,MSFT,451.2200012207031,456.7999877929687,449.2799987792969,454.5199890136719,26130000
2026-01-21,MSFT,452.6000061035156,452.69000244140625,438.6799926757813,444.1099853515625,37980500
2026-01-22,MSFT,447.6199951171875,452.8399963378906,444.7000122070313,451.1400146484375,25349400
2026-01-23,MSFT,451.8699951171875,471.1000061035156,450.5299987792969,465.9500122070313,38000200
2026-01-26,MSFT,465.30999755859375,474.25,462.0,470.2799987792969,29291200
2026-01-27,MSFT,473.7000122070313,482.8699951171875,473.1600036621094,480.5799865722656,29213900
2026-01-28,MSFT,483.2099914550781,483.739990234375,478.0,481.6300048828125,36875400
2026-01-29,MSFT,439.989990234375,442.5,421.0199890136719,433.5,128855300
2026-01-30,MSFT,439.1700134277344,439.6000061035156,426.4500122070313,430.2900085449219,58566800
2026-02-02,MSFT,430.239990234375,430.739990234375,422.25,423.3699951171875,42219900
2026-02-03,MSFT,422.010009765625,422.0499877929687,408.55999755859375,411.2099914550781,61424100
2026-02-04,MSFT,411.0,419.7999877929687,409.239990234375,414.19000244140625,45012400
2026-02-05,MSFT,407.44000244140625,408.2999877929687,392.3200073242187,393.6700134277344,66289200
2026-02-06,MSFT,399.1700134277344,401.7900085449219,392.9200134277344,401.1400146484375,53515300
2026-02-09,MSFT,404.8500061035156,414.8900146484375,400.8699951171875,413.6000061035156,45480500
2026-02-10,MSFT,419.6199951171875,423.6799926757813,412.7000122070313,413.2699890136719,44857900
2026-02-11,MSFT,416.1799926757813,416.4599914550781,401.010009765625,404.3699951171875,42491000
2026-02-12,MSFT,405.0,406.2000122070313,398.010009765625,401.8399963378906,40802400
2026-02-13,MSFT,404.4500122070313,405.5400085449219,398.0499877929687,401.3200073242187,34091600
2026-02-17,MSFT,399.2200012207031,400.5199890136719,394.5299987792969,396.8599853515625,32078800
2026-02-18,MSFT,398.1300048828125,402.55999755859375,396.3200073242187,399.6000061035156,23169200
2026-01-20,NVDA,181.8999938964844,182.3800048828125,177.61000061035156,178.07000732421875,223345300
2026-01-21,NVDA,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,200381000
2026-01-22,NVDA,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600
2026-01-23,NVDA,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142748100
2026-01-26,NVDA,187.16000366210935,189.1199951171875,185.9900054931641,186.47000122070312,124799600
2026-01-27,NVDA,187.2400054931641,190.0,185.6999969482422,188.52000427246097,143711600
2026-01-28,NVDA,191.27000427246097,192.3500061035156,189.83999633789065,191.52000427246097,148552700
2026-01-29,NVDA,191.33999633789065,193.47999572753903,186.05999755859375,192.5099945068359,171764400
2026-01-30,NVDA,191.2100067138672,194.4900054931641,189.47000122070312,191.1300048828125,179489500
2026-02-02,NVDA,187.1999969482422,190.3000030517578,184.8800048828125,185.61000061035156,165794100
2026-02-03,NVDA,186.2400054931641,186.27000427246097,176.22999572753906,180.33999633789065,204019600
2026-02-04,NVDA,179.4600067138672,179.5800018310547,171.91000366210938,174.19000244140625,207014100
2026-02-05,NVDA,174.92999267578125,176.82000732421875,171.02999877929688,171.8800048828125,206312900
2026-02-06,NVDA,176.69000244140625,187.0,174.60000610351562,185.41000366210935,231346200
2026-02-09,NVDA,184.2599945068359,193.66000366210935,183.9499969482422,190.0399932861328,196387400
2026-02-10,NVDA,191.3800048828125,192.47999572753903,188.1199951171875,188.5399932861328,136764800
2026-02-11,NVDA,192.4499969482422,193.2599945068359,188.77000427246097,190.0500030517578,144192700
2026-02-12,NVDA,193.02999877929688,193.61000061035156,186.5099945068359,186.94000244140625,189932500
2026-02-13,NVDA,187.47999572753903,187.5,181.58999633789065,182.80999755859375,161888000
2026-02-17,NVDA,181.75,187.1499938964844,179.17999267578125,184.97000122070312,162276900
2026-02-18,NVDA,188.75,190.3699951171875,186.7599945068359,187.97999572753903,164402400
2026-01-20,TSLA,429.3599853515625,430.7300109863281,417.44000244140625,419.25,63187300
2026-01-21,TSLA,421.6600036621094,438.2000122070313,419.6199951171875,431.44000244140625,68124000
2026-01-22,TSLA,435.1600036621094,449.5,432.6300048828125,449.3599853515625,71546700
2026-01-23,TSLA,447.4299926757813,452.4299926757813,444.0400085449219,449.05999755859375,56771400
2026-01-26,TSLA,445.0,445.0400085449219,434.2799987792969,435.2000122070313,49397400
2026-01-27,TSLA,437.4100036621094,437.5199890136719,430.69000244140625,430.8999938964844,37733100
2026-01-28,TSLA,431.9100036621094,438.260009765625,430.1000061035156,431.4599914550781,54857400
2026-01-29,TSLA,437.7999877929687,440.2300109863281,414.6199951171875,416.55999755859375,81686100
2026-01-30,TSLA,425.3500061035156,439.8800048828125,422.7000122070313,430.4100036621094,82626100
2026-02-02,TSLA,421.2900085449219,427.1499938964844,414.5,421.80999755859375,58739500
2026-02-03,TSLA,424.2699890136719,428.55999755859375,413.69000244140625,421.9599914550781,56886500
2026-02-04,TSLA,420.4599914550781,423.8999938964844,399.1799926757813,406.010009765625,74606900
2026-02-05,TSLA,397.0199890136719,402.1000061035156,387.5299987792969,397.2099914550781,72819800
2026-02-06,TSLA,400.8699951171875,414.5499877929687,397.75,411.1099853515625,62677100
2026-02-09,TSLA,409.9100036621094,421.25,407.2900085449219,417.3200073242187,54484300
2026-02-10,TSLA,418.0799865722656,427.25,417.0,425.2099914550781,64450200
2026-02-11,TSLA,427.9599914550781,436.3500061035156,420.0299987792969,428.2699890136719,57362000
2026-02-12,TSLA,430.2999877929687,436.2300109863281,414.0,417.0700073242187,61933400
2026-02-13,TSLA,414.30999755859375,424.05999755859375,410.8800048828125,417.44000244140625,51434100
2026-02-17,TSLA,412.3599853515625,413.7200012207031,400.510009765625,410.6300048828125,59678800
2026-02-18,TSLA,411.1099853515625,416.8999938964844,409.5799865722656,411.3200073242187,45831600
